CLAIM_ID,POLICY_ID,CUSTOMER_ID,STATE,LINE_OF_BUSINESS,BROKER_ID,CLAIM_TYPE,CLAIM_AMOUNT,CLAIM_STATUS,DATE_REPORTED,NOTES,DATE_RESOLVED,IS_CLOSED
C00041,P10703,CU1437,TX,Homeowners,Broker_1,Accident,803.11,Open,2024-09-03 05:28:33.639435,Total loss due to fire,,0
C00042,P10502,CU1539,FL,Auto,Broker_2,Liability,5053.56,Denied,2025-03-03 05:28:33.639438,Total loss due to fire,,0
C00043,P10005,CU1249,FL,Commercial,Broker_4,Flood,14928.46,Open,2025-07-23 05:28:33.639440,Vehicle rear-ended,,0
C00044,P10820,CU1076,NY,Auto,Broker_7,Theft,28620.59,Closed,2025-05-10 05:28:33.639443,Total loss due to fire,2025-06-25 05:28:33.639443,1
C00045,P10143,CU1043,FL,Auto,Broker_2,Liability,2351.95,Closed,2025-04-08 05:28:33.639445,Adjuster flagged for review,2025-05-13 05:28:33.639445,1
C00046,P10857,CU1835,NY,Commercial,Broker_8,Flood,4569.13,Closed,2024-11-20 05:28:33.639447,Adjuster flagged for review,2025-01-18 05:28:33.639447,1
C00047,P10260,CU1449,IL,Life,Broker_7,Accident,9699.01,Open,2025-07-17 05:28:33.639450,Adjuster flagged for review,,0
C00048,P10584,CU1040,TX,Life,Broker_9,Accident,624.77,Open,2024-11-04 05:28:33.639452,Minor water damage,,0
C00049,P10685,CU1832,TX,Life,Broker_6,Flood,5848.89,Closed,2024-11-03 05:28:33.639454,Minor water damage,2024-11-22 05:28:33.639454,1
C00050,P10231,CU1570,IL,Commercial,Broker_4,Accident,2628.37,Closed,2025-02-26 05:28:33.639457,Theft with forced entry,2025-04-02 05:28:33.639457,1
C00051,P10269,CU1130,CA,Life,Broker_6,Flood,1154.28,Open,2024-10-29 05:28:33.639459,Adjuster flagged for review,,0
C00052,P10939,CU1760,CA,Life,Broker_4,Flood,2577.13,Open,2025-07-15 05:28:33.639462,Adjuster flagged for review,,0
C00053,P10446,CU1669,FL,Life,Broker_7,Accident,395.0,Open,2024-12-31 05:28:33.639464,Total loss due to fire,,0
C00054,P10873,CU1098,NY,Life,Broker_9,Fire,5943.9,Closed,2024-11-22 05:28:33.639468,Customer reported late,2025-01-07 05:28:33.639468,1
C00055,P10221,CU1886,TX,Life,Broker_3,Theft,1456.73,Closed,2025-03-08 05:28:33.639472,Customer reported late,2025-04-04 05:28:33.639472,1
C00056,P10051,CU1444,FL,Life,Broker_3,Liability,1865.51,Open,2025-04-20 05:28:33.639477,Vehicle rear-ended,,0
C00057,P10115,CU1382,IL,Auto,Broker_2,Theft,645.31,Closed,2025-03-27 05:28:33.639481,Theft with forced entry,2025-04-12 05:28:33.639481,1
C00058,P10537,CU1620,TX,Commercial,Broker_1,Liability,9999.79,Open,2024-10-29 05:28:33.639485,Customer reported late,,0
C00059,P10564,CU1944,NY,Auto,Broker_1,Liability,3400.6,Pending,2024-09-28 05:28:33.639489,Vehicle rear-ended,,0
C00060,P10876,CU1103,NY,Homeowners,Broker_3,Theft,4244.88,Pending,2025-02-19 05:28:33.639493,Total loss due to fire,,0
C00061,P10540,CU1423,CA,Auto,Broker_7,Flood,4213.26,Closed,2024-11-10 05:28:33.639498,Theft with forced entry,2024-11-17 05:28:33.639498,1
C00062,P10018,CU1671,FL,Homeowners,Broker_9,Accident,2642.34,Pending,2024-11-22 05:28:33.639502,Theft with forced entry,,0
C00063,P10814,CU1645,IL,Auto,Broker_2,Fire,1069.25,Denied,2024-11-05 05:28:33.639504,Adjuster flagged for review,,0
C00064,P10391,CU1979,TX,Homeowners,Broker_7,Fire,6835.06,Denied,2025-04-27 05:28:33.639507,Minor water damage,,0
C00065,P10790,CU1154,NY,Life,Broker_1,Fire,679.42,Closed,2025-03-03 05:28:33.639509,Adjuster flagged for review,2025-03-20 05:28:33.639509,1
C00066,P10628,CU1961,TX,Life,Broker_2,Theft,548.37,Closed,2025-01-21 05:28:33.639512,Total loss due to fire,2025-02-09 05:28:33.639512,1
C00067,P10617,CU1858,IL,Commercial,Broker_6,Theft,6191.87,Open,2025-04-08 05:28:33.639515,Adjuster flagged for review,,0
C00068,P10418,CU1088,TX,Life,Broker_5,Flood,1171.26,Closed,2025-05-29 05:28:33.639517,Theft with forced entry,2025-06-19 05:28:33.639517,1
C00069,P10990,CU1319,FL,Homeowners,Broker_8,Fire,1831.99,Closed,2024-10-19 05:28:33.639519,Adjuster flagged for review,2024-12-02 05:28:33.639519,1
C00070,P10308,CU1065,CA,Commercial,Broker_2,Flood,3223.95,Open,2025-06-12 05:28:33.639522,Vehicle rear-ended,,0
C00071,P10738,CU1289,TX,Homeowners,Broker_1,Fire,2983.29,Open,2025-05-14 05:28:33.639525,Adjuster flagged for review,,0
C00072,P10863,CU1636,CA,Homeowners,Broker_7,Theft,6164.93,Closed,2024-12-11 05:28:33.639529,Customer reported late,2024-12-16 05:28:33.639529,1
C00073,P10185,CU1774,IL,Life,Broker_6,Accident,4883.28,Open,2024-09-27 05:28:33.639534,Total loss due to fire,,0
C00074,P10260,CU1449,CA,Life,Broker_8,Accident,5169.69,Closed,2024-09-13 05:28:33.639537,Total loss due to fire,2024-09-19 05:28:33.639537,1
C00075,P10527,CU1261,TX,Life,Broker_8,Accident,6259.77,Pending,2025-02-12 05:28:33.639542,Theft with forced entry,,0
C00076,P10272,CU1797,TX,Life,Broker_2,Accident,1730.88,Closed,2024-11-28 05:28:33.639546,Adjuster flagged for review,2025-01-04 05:28:33.639546,1
C00077,P10159,CU1503,NY,Auto,Broker_8,Liability,1945.5,Closed,2024-12-22 05:28:33.639551,Theft with forced entry,2025-01-28 05:28:33.639551,1
C00078,P10869,CU1995,TX,Homeowners,Broker_6,Fire,2881.25,Closed,2024-09-11 05:28:33.639553,Theft with forced entry,2024-10-22 05:28:33.639553,1
C00079,P10761,CU1394,CA,Commercial,Broker_9,Accident,1836.96,Closed,2025-01-26 05:28:33.639556,Vehicle rear-ended,2025-03-19 05:28:33.639556,1
C00080,P10223,CU1669,NY,Homeowners,Broker_7,Liability,20977.86,Open,2025-06-21 05:28:33.639558,Minor water damage,,0
C00081,P10255,CU1210,TX,Homeowners,Broker_2,Liability,8411.44,Denied,2025-05-30 05:28:33.639562,Theft with forced entry,,0
C00082,P10179,CU1553,TX,Homeowners,Broker_8,Liability,899.55,Open,2024-12-09 05:28:33.639566,Minor water damage,,0
C00083,P10019,CU1759,IL,Homeowners,Broker_9,Flood,28.05,Open,2024-08-24 05:28:33.639570,Minor water damage,,0
C00084,P10623,CU1688,NY,Homeowners,Broker_7,Flood,218.63,Closed,2025-02-06 05:28:33.639574,Total loss due to fire,2025-03-10 05:28:33.639574,1
C00085,P10631,CU1672,IL,Commercial,Broker_4,Liability,1398.99,Open,2024-12-20 05:28:33.639578,Customer reported late,,0
C00086,P10705,CU1657,IL,Homeowners,Broker_9,Accident,606.84,Closed,2025-07-22 05:28:33.639580,Customer reported late,2025-08-09 05:28:33.639580,1
C00087,P10467,CU1034,IL,Homeowners,Broker_4,Fire,3810.75,Open,2025-03-16 05:28:33.639583,Adjuster flagged for review,,0
C00088,P10622,CU1726,FL,Homeowners,Broker_4,Theft,9759.47,Open,2025-03-06 05:28:33.639585,Vehicle rear-ended,,0
C00089,P10209,CU1757,IL,Life,Broker_9,Flood,6673.26,Open,2025-07-17 05:28:33.639588,Vehicle rear-ended,,0
C00090,P10512,CU1161,CA,Commercial,Broker_8,Accident,1214.24,Open,2024-10-15 05:28:33.639590,Customer reported late,,0
C00091,P10057,CU1894,TX,Homeowners,Broker_4,Accident,2548.29,Closed,2025-06-03 05:28:33.639593,Adjuster flagged for review,2025-07-24 05:28:33.639593,1
C00092,P10092,CU1879,FL,Commercial,Broker_8,Theft,3545.31,Denied,2025-03-22 05:28:33.639596,Customer reported late,,0
C00093,P10220,CU1108,IL,Life,Broker_8,Theft,8309.08,Closed,2024-12-17 05:28:33.639600,Adjuster flagged for review,2025-02-08 05:28:33.639600,1
C00094,P10722,CU1171,TX,Commercial,Broker_7,Accident,9135.53,Denied,2024-09-29 05:28:33.639605,Adjuster flagged for review,,0
C00095,P10939,CU1760,NY,Life,Broker_10,Theft,12024.1,Open,2025-07-03 05:28:33.639609,Adjuster flagged for review,,0
C00096,P10231,CU1570,NY,Commercial,Broker_6,Accident,3559.05,Closed,2025-05-30 05:28:33.639613,Adjuster flagged for review,2025-06-26 05:28:33.639613,1
C00097,P10773,CU1485,TX,Life,Broker_8,Theft,5925.34,Open,2024-11-17 05:28:33.639616,Total loss due to fire,,0
C00098,P10363,CU1611,CA,Life,Broker_7,Theft,592.79,Closed,2024-12-29 05:28:33.639620,Total loss due to fire,2025-02-06 05:28:33.639620,1
C00099,P10614,CU1452,TX,Auto,Broker_5,Accident,4165.37,Closed,2024-10-08 05:28:33.639625,Customer reported late,2024-10-28 05:28:33.639625,1
C00100,P10561,CU1806,TX,Homeowners,Broker_4,Liability,1429.7,Closed,2025-02-08 05:28:33.639630,Adjuster flagged for review,2025-04-09 05:28:33.639630,1
C00101,P10373,CU1880,FL,Auto,Broker_2,Accident,2825.68,Closed,2025-04-10 05:28:33.639633,Theft with forced entry,2025-05-06 05:28:33.639633,1
C00102,P10621,CU1430,NY,Life,Broker_8,Fire,5026.3,Closed,2025-04-16 05:28:33.639636,Adjuster flagged for review,2025-06-08 05:28:33.639636,1
C00103,P10455,CU1660,NY,Life,Broker_9,Theft,1485.2,Closed,2024-12-20 05:28:33.639638,Theft with forced entry,2024-12-25 05:28:33.639638,1
C00104,P10087,CU1056,IL,Auto,Broker_4,Flood,267.98,Pending,2025-02-20 05:28:33.639640,Total loss due to fire,,0
C00105,P10019,CU1759,TX,Homeowners,Broker_4,Theft,51.43,Open,2025-06-30 05:28:33.639643,Adjuster flagged for review,,0
C00106,P10013,CU1518,TX,Commercial,Broker_5,Fire,112.04,Closed,2024-11-25 05:28:33.639645,Minor water damage,2024-12-20 05:28:33.639645,1
C00107,P10132,CU1057,CA,Auto,Broker_2,Flood,41.92,Closed,2024-10-24 05:28:33.639647,Customer reported late,2024-12-23 05:28:33.639647,1
C00108,P10936,CU1922,NY,Commercial,Broker_7,Flood,584.66,Closed,2025-05-28 05:28:33.639650,Adjuster flagged for review,2025-06-13 05:28:33.639650,1
C00109,P10807,CU1124,CA,Homeowners,Broker_5,Accident,1368.82,Open,2024-12-08 05:28:33.639653,Vehicle rear-ended,,0
C00110,P10033,CU1312,FL,Auto,Broker_6,Liability,1250.14,Closed,2024-09-12 05:28:33.639655,Theft with forced entry,2024-11-07 05:28:33.639655,1
C00111,P10891,CU1885,IL,Life,Broker_4,Accident,21636.4,Closed,2025-05-17 05:28:33.639658,Adjuster flagged for review,2025-05-22 05:28:33.639658,1
C00112,P10207,CU1965,CA,Commercial,Broker_8,Flood,1826.46,Closed,2025-01-17 05:28:33.639660,Minor water damage,2025-03-05 05:28:33.639660,1
C00113,P10812,CU1034,NY,Commercial,Broker_8,Flood,681.51,Open,2024-08-13 05:28:33.639662,Theft with forced entry,,0
C00114,P10198,CU1519,FL,Commercial,Broker_5,Liability,3943.47,Pending,2025-03-02 05:28:33.639665,Minor water damage,,0
C00115,P10591,CU1906,TX,Commercial,Broker_6,Theft,9758.14,Closed,2024-11-18 05:28:33.639667,Customer reported late,2024-12-31 05:28:33.639667,1
C00116,P10582,CU1934,FL,Homeowners,Broker_3,Liability,5666.96,Closed,2025-03-30 05:28:33.639669,Customer reported late,2025-05-25 05:28:33.639669,1
C00117,P10154,CU1426,CA,Homeowners,Broker_1,Accident,1755.47,Closed,2024-12-26 05:28:33.639672,Customer reported late,2025-01-19 05:28:33.639672,1
C00118,P10589,CU1493,NY,Auto,Broker_9,Theft,4123.3,Denied,2024-08-13 05:28:33.639675,Total loss due to fire,,0
C00119,P10077,CU1493,CA,Commercial,Broker_9,Accident,6273.8,Open,2025-02-27 05:28:33.639677,Minor water damage,,0
C00120,P10171,CU1566,TX,Homeowners,Broker_3,Liability,6511.69,Open,2025-04-15 05:28:33.639679,Adjuster flagged for review,,0
C00121,P10288,CU1313,TX,Life,Broker_4,Theft,5491.14,Closed,2025-06-12 05:28:33.639682,Vehicle rear-ended,2025-06-25 05:28:33.639682,1
C00122,P10544,CU1748,NY,Auto,Broker_7,Liability,10232.37,Closed,2024-10-22 05:28:33.639684,Vehicle rear-ended,2024-11-07 05:28:33.639684,1
C00123,P10811,CU1868,IL,Commercial,Broker_2,Fire,10205.16,Open,2024-11-12 05:28:33.639687,Customer reported late,,0
C00124,P10787,CU1556,FL,Auto,Broker_3,Flood,4324.86,Pending,2024-09-03 05:28:33.639689,Vehicle rear-ended,,0
C00125,P10878,CU1760,FL,Homeowners,Broker_6,Theft,2809.33,Closed,2024-11-05 05:28:33.639692,Theft with forced entry,2024-12-10 05:28:33.639692,1
C00126,P10419,CU1653,TX,Life,Broker_8,Flood,5130.11,Closed,2025-05-27 05:28:33.639694,Minor water damage,2025-07-05 05:28:33.639694,1
C00127,P10006,CU1874,CA,Auto,Broker_1,Fire,8524.57,Open,2024-08-21 05:28:33.639696,Minor water damage,,0
C00128,P10159,CU1503,CA,Auto,Broker_4,Theft,28.34,Open,2024-10-23 05:28:33.639699,Minor water damage,,0
C00129,P10239,CU1195,IL,Life,Broker_1,Flood,24139.7,Closed,2024-08-12 05:28:33.639702,Theft with forced entry,2024-09-12 05:28:33.639702,1
C00130,P10962,CU1848,CA,Life,Broker_2,Flood,1009.93,Pending,2024-11-21 05:28:33.639704,Adjuster flagged for review,,0
C00131,P10422,CU1738,FL,Commercial,Broker_8,Theft,3176.74,Closed,2024-11-14 05:28:33.639707,Total loss due to fire,2024-12-25 05:28:33.639707,1
C00132,P10988,CU1905,CA,Auto,Broker_6,Flood,10279.79,Pending,2025-02-19 05:28:33.639709,Theft with forced entry,,0
C00133,P10535,CU1440,IL,Homeowners,Broker_9,Flood,1274.72,Denied,2024-09-19 05:28:33.639711,Minor water damage,,0
C00134,P10725,CU1062,FL,Life,Broker_2,Theft,3238.91,Closed,2025-03-18 05:28:33.639714,Minor water damage,2025-05-01 05:28:33.639714,1
C00135,P10069,CU1042,CA,Life,Broker_3,Flood,711.17,Closed,2024-11-03 05:28:33.639716,Minor water damage,2024-12-09 05:28:33.639716,1
C00136,P10879,CU1663,FL,Life,Broker_9,Flood,2513.26,Closed,2025-01-16 05:28:33.639719,Adjuster flagged for review,2025-03-12 05:28:33.639719,1
C00137,P10215,CU1813,TX,Homeowners,Broker_9,Accident,974.82,Closed,2024-08-24 05:28:33.639721,Vehicle rear-ended,2024-09-20 05:28:33.639721,1
C00138,P10103,CU1649,TX,Homeowners,Broker_6,Accident,2259.86,Open,2024-10-25 05:28:33.639723,Total loss due to fire,,0
C00139,P10726,CU1022,TX,Commercial,Broker_3,Fire,2337.75,Closed,2024-11-01 05:28:33.639726,Theft with forced entry,2024-12-07 05:28:33.639726,1
C00140,P10053,CU1160,CA,Homeowners,Broker_5,Accident,24932.73,Open,2025-05-13 05:28:33.639728,Minor water damage,,0
C00141,P10805,CU1484,IL,Homeowners,Broker_2,Accident,26308.03,Denied,2024-08-31 05:28:33.639730,Customer reported late,,0
C00142,P10329,CU1814,FL,Auto,Broker_7,Fire,609.63,Denied,2025-06-15 05:28:33.639733,Total loss due to fire,,0
C00143,P10847,CU1562,NY,Life,Broker_10,Flood,6472.57,Open,2024-09-09 05:28:33.639735,Customer reported late,,0
C00144,P10202,CU1687,TX,Commercial,Broker_8,Flood,265.66,Closed,2025-06-22 05:28:33.639738,Total loss due to fire,2025-08-06 05:28:33.639738,1
C00145,P10287,CU1337,TX,Life,Broker_6,Accident,153.29,Closed,2024-09-06 05:28:33.639740,Minor water damage,2024-11-02 05:28:33.639740,1
C00146,P10044,CU1304,NY,Commercial,Broker_8,Fire,556.52,Closed,2024-12-02 05:28:33.639742,Total loss due to fire,2024-12-27 05:28:33.639742,1
C00147,P10828,CU1277,NY,Homeowners,Broker_2,Flood,16831.9,Open,2025-02-03 05:28:33.639746,Total loss due to fire,,0
C00148,P10197,CU1128,CA,Life,Broker_3,Liability,14139.54,Closed,2024-12-25 05:28:33.639751,Minor water damage,2025-02-19 05:28:33.639751,1
C00149,P10215,CU1813,FL,Homeowners,Broker_7,Theft,1077.91,Open,2025-03-17 05:28:33.639755,Adjuster flagged for review,,0
C00150,P10480,CU1587,TX,Auto,Broker_10,Theft,881.73,Open,2025-02-14 05:28:33.639760,Customer reported late,,0
C00151,P10308,CU1065,IL,Commercial,Broker_1,Theft,1375.71,Open,2025-07-08 05:28:33.639764,Adjuster flagged for review,,0
C00152,P10895,CU1116,CA,Auto,Broker_7,Accident,3623.67,Open,2024-08-05 05:28:33.639766,Customer reported late,,0
C00153,P10434,CU1621,CA,Homeowners,Broker_6,Theft,4216.42,Closed,2025-04-03 05:28:33.639769,Vehicle rear-ended,2025-05-31 05:28:33.639769,1
C00154,P10331,CU1142,IL,Life,Broker_8,Theft,1252.53,Pending,2025-01-02 05:28:33.639771,Customer reported late,,0
C00155,P10695,CU1222,IL,Life,Broker_7,Liability,7065.71,Closed,2025-07-20 05:28:33.639773,Customer reported late,2025-08-14 05:28:33.639773,1
C00156,P10026,CU1916,IL,Life,Broker_4,Flood,1852.08,Closed,2025-03-09 05:28:33.639776,Total loss due to fire,2025-04-30 05:28:33.639776,1
C00157,P10165,CU1475,NY,Commercial,Broker_3,Liability,12763.66,Open,2025-03-04 05:28:33.639778,Vehicle rear-ended,,0
C00158,P10317,CU1659,TX,Auto,Broker_3,Accident,5346.08,Closed,2025-07-11 05:28:33.639780,Minor water damage,2025-07-29 05:28:33.639780,1
C00159,P10273,CU1985,NY,Homeowners,Broker_4,Theft,2866.62,Open,2025-05-01 05:28:33.639783,Minor water damage,,0
C00160,P10382,CU1943,TX,Life,Broker_9,Flood,7801.14,Closed,2024-10-22 05:28:33.639785,Theft with forced entry,2024-12-06 05:28:33.639785,1
C00161,P10364,CU1500,NY,Life,Broker_9,Theft,8516.4,Pending,2025-02-01 05:28:33.639788,Vehicle rear-ended,,0
C00162,P10102,CU1570,FL,Commercial,Broker_2,Theft,1715.84,Open,2025-03-29 05:28:33.639790,Total loss due to fire,,0
C00163,P10959,CU1839,TX,Commercial,Broker_5,Accident,2075.42,Closed,2025-07-29 05:28:33.639793,Theft with forced entry,2025-09-15 05:28:33.639793,1
C00164,P10502,CU1539,CA,Auto,Broker_1,Theft,13740.86,Open,2024-08-04 05:28:33.639795,Theft with forced entry,,0
C00165,P10844,CU1353,TX,Homeowners,Broker_4,Fire,900.07,Closed,2025-01-07 05:28:33.639808,Minor water damage,2025-02-04 05:28:33.639808,1
C00166,P10372,CU1595,TX,Homeowners,Broker_2,Flood,215.32,Open,2025-06-16 05:28:33.639811,Customer reported late,,0
C00167,P10615,CU1519,TX,Life,Broker_8,Flood,3026.19,Closed,2025-02-19 05:28:33.639813,Total loss due to fire,2025-03-22 05:28:33.639813,1
C00168,P10925,CU1581,FL,Auto,Broker_4,Fire,8077.53,Open,2025-02-22 05:28:33.639815,Vehicle rear-ended,,0
C00169,P10244,CU1381,NY,Commercial,Broker_5,Accident,7384.78,Closed,2024-10-12 05:28:33.639818,Theft with forced entry,2024-11-25 05:28:33.639818,1
C00170,P10816,CU1785,CA,Life,Broker_4,Theft,12599.39,Closed,2024-11-28 05:28:33.639820,Total loss due to fire,2024-12-26 05:28:33.639820,1
C00171,P10168,CU1484,NY,Life,Broker_5,Theft,3809.28,Closed,2024-10-17 05:28:33.639822,Minor water damage,2024-12-03 05:28:33.639822,1
C00172,P10627,CU1657,NY,Life,Broker_5,Flood,527.16,Closed,2024-08-21 05:28:33.639827,Theft with forced entry,2024-10-01 05:28:33.639827,1
C00173,P10652,CU1104,IL,Auto,Broker_5,Accident,4442.03,Pending,2024-08-14 05:28:33.639834,Theft with forced entry,,0
C00174,P10417,CU1819,FL,Homeowners,Broker_3,Accident,7534.31,Closed,2024-08-06 05:28:33.639838,Adjuster flagged for review,2024-08-15 05:28:33.639838,1
C00175,P10355,CU1406,IL,Commercial,Broker_7,Accident,489.87,Open,2024-08-06 05:28:33.639843,Minor water damage,,0
C00176,P10477,CU1423,FL,Auto,Broker_3,Theft,947.68,Open,2024-08-17 05:28:33.639847,Adjuster flagged for review,,0
C00177,P10124,CU1078,NY,Auto,Broker_2,Accident,61.83,Denied,2024-12-09 05:28:33.639850,Minor water damage,,0
C00178,P10536,CU1092,NY,Auto,Broker_3,Fire,4502.73,Closed,2024-09-19 05:28:33.639855,Minor water damage,2024-11-04 05:28:33.639855,1
C00179,P10705,CU1657,FL,Homeowners,Broker_3,Liability,10890.1,Closed,2025-02-12 05:28:33.639858,Adjuster flagged for review,2025-03-17 05:28:33.639858,1
C00180,P10895,CU1116,NY,Auto,Broker_8,Accident,5553.37,Open,2024-12-08 05:28:33.639862,Total loss due to fire,,0
C00181,P10611,CU1102,NY,Auto,Broker_4,Liability,20098.07,Closed,2025-07-18 05:28:33.639867,Total loss due to fire,2025-07-24 05:28:33.639867,1
C00182,P10401,CU1507,CA,Homeowners,Broker_3,Theft,325.54,Open,2024-08-01 05:28:33.639871,Total loss due to fire,,0
C00183,P10516,CU1768,IL,Commercial,Broker_10,Accident,11665.28,Pending,2024-09-24 05:28:33.639875,Customer reported late,,0
